"term","name","family"
"barbituric acid","French","Indo-European"
"Barbock","German","Indo-European"
"barbotine","French","Indo-European"
"barbotte","Turkish","Turkic"
"Barbour","Middle French","Indo-European"
"Barbuda","Spanish","Indo-European"
"barbule","Latin","Indo-European"
"Barbuto","Italian","Indo-European"
"Barca","Catalan","Indo-European"
"barcarole","Venetian","Indo-European"
"Barcelona","Catalan","Indo-European"
"barchan","Kazakh","Turkic"
"barches","Eastern Yiddish","Indo-European"
"Barclay","Middle French","Indo-European"
"barcon","Italian","Indo-European"
"bard","Scottish Gaelic","Indo-European"
"Bárðarbunga","Icelandic","Indo-European"
"bardash","French","Indo-European"
"Bardet","French","Indo-European"
"bardo","Tibetan","Sino-Tibetan"
"bare","Middle English","Indo-European"
"bare-footen","Middle English","Indo-European"
"barefoot","Middle English","Indo-European"
"barège","French","Indo-European"
"Barelvi","Urdu","Indo-European"
"baren","Japanese","Japonic"
"Baren","Central Uyghur","Turkic"
"Barese","Italian","Indo-European"
"barfi","Old Persian","Bookkeeping"
"Barfuss","German","Indo-European"
"bargain","Middle French","Indo-European"
"bargainee","Middle French","Indo-European"
"barge","Middle French","Indo-European"
"barge board","Medieval Latin","Indo-European"
"Bargello","Late Latin","Indo-European"
"barghest","German","Indo-European"
"Bari","Latin","Indo-European"
"bariatric","Ancient North Greek","Indo-European"
"baric","Ancient North Greek","Indo-European"
"barilla","Spanish","Indo-European"
"Barilla","Italian","Indo-European"
"barillet","French","Indo-European"
"Barin","Central Uyghur","Turkic"
"bariolage","French","Indo-European"
"barista","Italian","Indo-European"
"baristi","Italian","Indo-European"
"baristo","Italian","Indo-European"
"barite","Ancient North Greek","Indo-European"
"baritone","Italian","Indo-European"
"barium","Indo-European","Indo-European"
"bark","Indo-European","Indo-European"
"barkada","Spanish","Indo-European"
"Barkan","Here","Atlantic-Congo"
"Barkdull","Swedish","Indo-European"
"barker","Middle English","Indo-European"
"Barker","Middle English","Indo-European"
"barking","Middle English","Indo-European"
"Barking","Medieval Latin","Indo-European"
"Barlaam","Bantik","Austronesian"
"Barlage","German","Indo-European"
"barley","Germanic","Indo-European"
"Barley","Middle English","Indo-European"
"barling","Middle English","Indo-European"
"Barlog","Polish","Indo-European"
"Barlow","Middle English","Indo-European"
"barm","Indo-European","Indo-European"
"barmaster","German","Indo-European"
"barmbrack","Irish","Indo-European"
"barmcloth","Middle English","Indo-European"
"barmed","Middle English","Indo-European"
"barmy","Middle English","Indo-European"
"barn","Middle English","Indo-European"
"Barnabas","Ancient North Greek","Indo-European"
"barnacle","Middle French","Indo-European"
"Barnas","Polish","Indo-European"
"Barndt","German","Indo-European"
"Barnstaple","Middle English","Indo-European"
"baro-","Ancient North Greek","Indo-European"
"Baro","Catalan","Indo-European"
"Barolo","Italian","Indo-European"
"barometer","Indo-European","Indo-European"
"barometz","Russian","Indo-European"
"baron","Middle French","Indo-European"
"Baron","French","Indo-European"
"baronage","Middle English","Indo-European"
"baroness","Middle English","Indo-European"
"barong Tagalog","Tagalog","Austronesian"
"barony","Middle French","Indo-European"
"baroque","Portuguese","Indo-European"
"Baroque","Portuguese","Indo-European"
"baroque piety","French","Indo-European"
"barouche","Italian","Indo-European"
"barque","Italian","Indo-European"
"Barr","Irish","Indo-European"
"Barra","Scottish Gaelic","Indo-European"
"barracan","Arabic","Afro-Asiatic"
"barrace","Middle French","Indo-European"
"barrack","Catalan","Indo-European"
"barracks communism","German","Indo-European"
"Barraco","Italian","Indo-European"
"barracoon","Spanish","Indo-European"
"barracuda","Spanish","Indo-European"
"barracudina","Spanish","Indo-European"
"barrage","French","Indo-European"
"barranca","Spanish","Indo-European"
"Barras","French","Indo-European"
"barrator","Middle French","Indo-European"
"barratry","Middle French","Indo-European"
"barre","French","Indo-European"
"barre chord","French","Indo-European"
"Barreiro","Portuguese","Indo-European"
"barrel","Anglo-Norman","Indo-European"
"Barrell","Middle French","Indo-European"
"barren","Middle French","Indo-European"
"Barresi","Italian","Indo-European"
"barret","Late Latin","Indo-European"
"barreter","Middle French","Indo-European"
"Barrett","Middle English","Indo-European"
"Barretta","Italian","Indo-European"
"barrette","French","Indo-European"
"barretter","Middle French","Indo-European"
"barriada","Spanish","Indo-European"
"barricade","French","Indo-European"
"barrico","Spanish","Indo-European"
"barrier","Middle French","Indo-European"
"barrigudo","Spanish","Indo-European"
"Barrilleaux","French","Indo-European"
"barrio","Arabic","Afro-Asiatic"
"Barrio","Spanish","Indo-European"
"Barrios","Spanish","Indo-European"
"barrique","French","Indo-European"
"barro negro","Spanish","Indo-European"
"barrow","Indo-European","Indo-European"
"Barrueta","Spanish","Indo-European"
"barry","French","Indo-European"
"Barry","Irish","Indo-European"
"BARS","Russian","Indo-European"
"Barsabe","Latin","Indo-European"
"barse","Middle English","Indo-European"
"Barstad","Norwegian","Indo-European"
"Barstow","Middle English","Indo-European"
"barszcz","Polish","Indo-European"
"barter","Middle French","Indo-European"
"Bartholomew","Ancient North Greek","Indo-European"
"Bartkowiak","Polish","Indo-European"
"Bartmann jug","German","Indo-European"
"Bartok","Hungarian","Uralic"
"Bartolomei","Italian","Indo-European"
"Bartolotta","Italian","Indo-European"
"barton","Middle English","Indo-European"
"Barton","Middle English","Indo-European"
"bartonellosis","Tingal","Bookkeeping"
"Bartowski","Polish","Indo-European"
"Bartunek","Czech","Indo-European"
"Baruch","Here","Atlantic-Congo"
"baruch Hashem","Here","Atlantic-Congo"
"bary-","Ancient North Greek","Indo-European"
"barylite","Ancient North Greek","Indo-European"
"baryo-","Ancient North Greek","Indo-European"
"baryon","Ancient North Greek","Indo-European"
"barysilite","Ancient North Greek","Indo-European"
"baryta","Ancient North Greek","Indo-European"
"barythymia","Ancient North Greek","Indo-European"
"baryton","German","Indo-European"
"barytone","Latin","Indo-European"
"barytonesis","Ancient North Greek","Indo-European"
"barzakh","Arabic","Afro-Asiatic"
"Barzan","Italian","Indo-European"
"Bas","Cebuano","Austronesian"
"bas-relief","Italian","Indo-European"
"Bas-Rhin","French","Indo-European"
"basa","Vietnamese","Austroasiatic"
"Basa","Basque","Basque"
"basa fish","Vietnamese","Austroasiatic"
"basal","Indo-European","Indo-European"
"Basaldua","Basque","Basque"
"basalt","Late Latin","Indo-European"
"basanite","Latin","Indo-European"
"basashi","Japanese","Japonic"
"basbleu","French","Indo-European"
"basbousa","Arabic","Afro-Asiatic"
"bascinet","Anglo-Norman","Indo-European"
"basculation","Spanish","Indo-European"
"bascule","French","Indo-European"
"base","Middle French","Indo-European"
"base court","French","Indo-European"
"baseis","Ancient North Greek","Indo-European"
"Basel-Stadt","German","Indo-European"
"baselard","Middle French","Indo-European"
"baseling","Middle English","Indo-European"
"bases","Latin","Indo-European"
"bash","Old Norse","Indo-European"
"Bashandy","Coptic","Afro-Asiatic"
"Bashar","Arabic","Afro-Asiatic"
"Basheer","Arabic","Afro-Asiatic"
"bashert","Middle Low German","Indo-European"
"bashi-bazouk","Ottoman Turkish","Turkic"
"Bashir","Arabic","Afro-Asiatic"
"Bashkir","Russian","Indo-European"
"Bashkiria","Russian","Indo-European"
"Bashkortostan","Bashkir","Turkic"
"bashlyk","Turkish","Turkic"
"Bashmur","Arabic","Afro-Asiatic"
"Bashore","Dutch","Indo-European"
"basi-","Latin","Indo-European"
"basic","Indo-European","Indo-European"
"basicerite","Ancient North Greek","Indo-European"
"basidiobolaceous","Tingal","Bookkeeping"
"basidium","Ancient North Greek","Indo-European"
"Basij","Old Persian","Bookkeeping"
"basil","Middle French","Indo-European"
"Basil","Latin","Indo-European"
"basilar","Old Latin","Indo-European"
"basilean","Ancient North Greek","Indo-European"
"basileiolatry","Ancient North Greek","Indo-European"
"basileolatry","Ancient North Greek","Indo-European"
"basileus","Ancient North Greek","Indo-European"
"basilic","French","Indo-European"
"basilica","Ancient North Greek","Indo-European"
"basilicon","Ancient North Greek","Indo-European"
"basilisk","Middle French","Indo-European"
"basilolatry","Ancient North Greek","Indo-European"
"basin","Middle French","Indo-European"
"basinful","Middle English","Indo-European"
"Basinger","German","Indo-European"
"basis","Latin","Indo-European"
"bask","Old Norse","Indo-European"
"basket","Late Latin","Indo-European"
"basketful","Middle English","Indo-European"
"Basle","French","Indo-European"
"Basmachi","Uzbek","Turkic"
"basmala","Arabic","Afro-Asiatic"
"basmati","Hindi","Indo-European"
"Basnett","Anglo-Norman","Indo-European"
"basque","French","Indo-European"
"Basque","Occitan","Indo-European"
"Basquish","German","Indo-European"
"bass","Italian","Indo-European"
"Bassaleg","Welsh","Indo-European"
"basset","French","Indo-European"
"basset horn","French","Indo-European"
"basset hound","French","Indo-European"
"bassetto","Italian","Indo-European"
"Bassford","Middle English","Indo-European"
"bassinet","French","Indo-European"
"basso","Latin","Indo-European"
"basso continuo","Italian","Indo-European"
"basso profondo","Italian","Indo-European"
"bassoon","French","Indo-European"
"bast","Indo-European","Indo-European"
"basta","Italian","Indo-European"
"bastard","Anglo-Norman","Indo-European"
"bastardry","Middle English","Indo-European"
"bastardy","Middle French","Indo-European"
"baste","Middle French","Indo-European"
"Baster","Dutch","Indo-European"
"Bastet","Egyptian","Afro-Asiatic"
"bastide","French","Indo-European"
"bastille","Late Latin","Indo-European"
"bastillion","French","Indo-European"
"bastinade","French","Indo-European"
"bastinado","Spanish","Indo-European"
"bastion","French","Indo-European"
"basto","Spanish","Indo-European"
"baston","Middle French","Indo-European"
"Baston","Middle French","Indo-European"
"basturma","Western Armenian","Indo-European"
"Basu","Bengali","Indo-European"
"bat","Middle French","Indo-European"
"bat'leth","Klingon","Artificial Language"
"bat mitzvah","Here","Atlantic-Congo"
"bata","Yoruba","Atlantic-Congo"
"bataca","Spanish","Indo-European"
"Bataglia","Italian","Indo-European"
"Batanes","Southern Ivatan","Austronesian"
"Batangueño","Spanish","Indo-European"
"batard","French","Indo-European"
"batardeau","French","Indo-European"
"batata","Tano","Atlantic-Congo"
"batata vada","Marathi","Indo-European"
"Batavi","Latin","Indo-European"
"Batavia","Germanic","Indo-European"
"Batavian Republic","Dutch","Indo-European"
"batch","Middle English","Indo-European"
"batchim","Korean","Koreanic"
"batchoy","Hiligaynon","Austronesian"
"bate","Middle French","Indo-European"
"bateau","French","Indo-European"
"bateleur","French","Indo-European"
"bath","Indo-European","Indo-European"
"Bath","Arabic","Afro-Asiatic"
"bathe","Indo-European","Indo-European"
"bathhouse","Middle English","Indo-European"
"bathing","Middle English","Indo-European"
"Bathke","German","Indo-European"
"bathmism","Ancient North Greek","Indo-European"
"bathmophobia","Ancient North Greek","Indo-European"
"batho-","Ancient North Greek","Indo-European"
"bathorse","French","Indo-European"
"bathos","Ancient North Greek","Indo-European"
"bathroom","Dutch","Indo-European"
"Bathsheba","Here","Atlantic-Congo"
"bathukolpic","Ancient North Greek","Indo-European"
"bathwater","Dutch","Indo-European"
"bathy-","Ancient North Greek","Indo-European"
"bathykolpian","Ancient North Greek","Indo-European"
"bathymodiolin","Tingal","Bookkeeping"
"bathymodioline","Tingal","Bookkeeping"
"bathyscaphe","Ancient North Greek","Indo-European"
"bathysphere","Ancient North Greek","Indo-European"
"batida","Portuguese","Indo-European"
"batik","Javanese","Austronesian"
"batin","Arabic","Afro-Asiatic"
"batiste","French","Indo-European"
"batman","French","Indo-European"
"batologist","Ancient North Greek","Indo-European"
"batology","Ancient North Greek","Indo-European"
"baton","French","Indo-European"
"Baton Rouge","French","Indo-European"
"batonnet","French","Indo-European"
"batoon","French","Indo-European"
"Batra","Hindi","Indo-European"
"batrachian","Ancient North Greek","Indo-European"
"batrachite","Latin","Indo-European"
"batrachoidid","Ancient North Greek","Indo-European"
"batrachology","Ancient North Greek","Indo-European"
"batrachophagous","Ancient North Greek","Indo-European"
"batrachophobia","Ancient North Greek","Indo-European"
"batrachotoxin","Ancient North Greek","Indo-European"
"batta","Hindi","Indo-European"
"Battabara","Sanskrit","Indo-European"
"Battaglia","Italian","Indo-European"
"battailant","French","Indo-European"
"battailous","Middle French","Indo-European"
"battalia","Latin","Indo-European"
"battalia pie","French","Indo-European"
"battalion","French","Indo-European"
"battel","Middle French","Indo-European"
"battement","French","Indo-European"
"batten","Old Norse","Indo-European"
"Battenberg","German","Indo-European"
"Battenberger","German","Indo-European"
"batter","Middle French","Indo-European"
"batterie","French","Indo-European"
"batterie de cuisine","French","Indo-European"
"Battersby","Old Norse","Indo-European"
"battery","Middle French","Indo-European"
"Batticaloa","Portuguese","Indo-European"
"Battista","Italian","Indo-European"
"battle","Middle French","Indo-European"
"battlement","Middle French","Indo-European"
"battler","Middle French","Indo-European"
"battology","Ancient North Greek","Indo-European"
"battu","French","Indo-European"
"battue","Late Latin","Indo-European"
"battuta","Italian","Indo-European"
"batucada","Spanish","Indo-European"
"Batumi","Georgian","Kartvelian"
"batune","Anglo-Norman","Indo-European"
"batz","German","Indo-European"
"batzen","German","Indo-European"
"bau","Mandari","Nilotic"
"bauble","Middle French","Indo-European"
"baubon","Ancient North Greek","Indo-European"
"baud","French","Indo-European"
"baudrons","Scottish Gaelic","Indo-European"
"Bauer","German","Indo-European"
"Bauhaus","German","Indo-European"
"Baum","German","Indo-European"
"Baumann","German","Indo-European"
"Baumé","French","Indo-European"
"Baumkuchen","German","Indo-European"
"Baumler","German","Indo-European"
"bauno","Cebuano","Austronesian"
"bauplan","German","Indo-European"
"Bauserman","German","Indo-European"
"Bautista","Spanish","Indo-European"
"Bava Metzi'a","Aramaic","Afro-Asiatic"
"bavardage","French","Indo-European"
"bavarese","Italian","Indo-European"
"Bavaria","Medieval Latin","Indo-European"
"bavaroise","French","Indo-European"
"bavaroy","French","Indo-European"
"bavette","French","Indo-European"
"bavin","Middle French","Indo-European"
"bawbee","Scots","Indo-European"
"bawcock","Middle French","Indo-European"
"bawd","Middle French","Indo-European"
"bawl","Middle English","Indo-European"
"bawn","Irish","Indo-European"
"bawneen","Irish","Indo-European"
"bawson","Middle French","Indo-European"
"bawsunt","Middle French","Indo-European"
"baxter","Middle English","Indo-European"
"Baxter","Middle English","Indo-European"
"bay","Middle French","Indo-European"
"bay antler","French","Indo-European"
"bay window","Middle English","Indo-European"
"bayadere","French","Indo-European"
"bayadère","Portuguese","Indo-European"
"bayag-kambing","Tagalog","Austronesian"
"bayamo","Spanish","Indo-European"
"bayan","Russian","Indo-European"
"bayanihan","Tagalog","Austronesian"
"bayard","Middle French","Indo-European"
"Bayburt","Turkish","Turkic"
"baydzharakh","Yaaku","Afro-Asiatic"
"Bayev","Russian","Indo-European"
"Bayevsky","Russian","Indo-European"
"Bayford","Middle English","Indo-European"
"Bayingolin","Mongolian","Mongolic-Khitan"
"baylisascariasis","Ancient North Greek","Indo-European"
"Bayliss","Middle French","Indo-European"
"bayonet","French","Indo-European"
"Bayonne","French","Indo-European"
"bayou","Choctaw","Muskogean"
"Bayoud disease","Arabic","Afro-Asiatic"
"bays","French","Indo-European"
"baza","Hindi","Indo-European"
"bazaar","Ottoman Turkish","Turkic"
"baze","Dutch","Indo-European"
"Bazil","French","Indo-European"
"bazoo","Dutch","Indo-European"
"bazooka","Dutch","Indo-European"
"Bazzi","Arabic","Afro-Asiatic"
"Bde Maka Ska","Dakota","Siouan"
"bdellatomy","Ancient North Greek","Indo-European"
"bdellin","Ancient North Greek","Indo-European"
"bdellium","Ancient North Greek","Indo-European"
"bdelloid","Ancient North Greek","Indo-European"
"bdelloid rotifer","Greek","Indo-European"
"bdellometer","French","Indo-European"
"bdelygmia","Ancient North Greek","Indo-European"
"be","Indo-European","Indo-European"
"be-","Middle English","Indo-European"
"be a hundred years too early","Japanese","Japonic"
"be gathered to one's fathers","Biblical Hebrew","Afro-Asiatic"
"beach","Indo-European","Indo-European"
"Beach","German","Indo-European"
"Beacham","French","Indo-European"
"beacon","Middle English","Indo-European"
"bead","Middle English","Indo-European"
"beadful","Middle English","Indo-European"
"beadhouse","Middle English","Indo-European"
"beadle","Middle English","Indo-European"
"beadsman","Middle English","Indo-European"
"beag","Indo-European","Indo-European"
"beagle","Middle French","Indo-European"
"beak","Anglo-Norman","Indo-European"
"beaker","Old Norse","Indo-European"
"beal","Middle English","Indo-European"
"Beal","Middle English","Indo-European"
"beam","Indo-European","Indo-European"
"beam tree","Middle English","Indo-European"
"beamy","Middle English","Indo-European"
"bean","Indo-European","Indo-European"
"bean counter","German","Indo-European"
"bean curd","Middle Chinese","Sino-Tibetan"
"bear","Indo-European","Indo-European"
"bear-whelp","Middle English","Indo-European"
"bear out","Middle English","Indo-European"
"bearable","Middle English","Indo-European"
"bearbind","Middle English","Indo-European"
"beard","Middle English","Indo-European"
"Beardall","Middle English","Indo-European"
"bearded","Middle English","Indo-European"
"beardless","Middle English","Indo-European"
"beardy","Mainland Northern Frisian","Indo-European"
"bearen","Middle English","Indo-European"
"bearer","Middle English","Indo-European"
"bearing","Germanic","Indo-European"
"bearling","Middle English","Indo-European"
"Béarn","French","Indo-European"
"Béarnais","French","Indo-European"
"béarnaise sauce","French","Indo-European"
"Beary","Irish","Indo-European"
"beast","Middle French","Indo-European"
"beastly","Middle English","Indo-European"
"beat","Middle English","Indo-European"
"beater","Middle English","Indo-European"
"beath","Indo-European","Indo-European"
"beatific","Latin","Indo-European"
"beatification","Middle French","Indo-European"
"beatify","French","Indo-European"
"beatitude","Middle French","Indo-European"
"beatnik","Russian","Indo-European"
"Beatrice","Latin","Indo-European"
"Beatty","Irish","Indo-European"
"beau","Latin","Indo-European"
"Beau","French","Indo-European"
"beau-catcher","Indo-European","Indo-European"
"beau geste","French","Indo-European"
"beau idéal","French","Indo-European"
"beau joueur","French","Indo-European"
"beau monde","French","Indo-European"
"beau sabreur","French","Indo-European"
"Beauchamp","French","Indo-European"
"Beauchemin","French","Indo-European"
"beaucoup","French","Indo-European"
"Beaudoin","French","Indo-European"
"Beaujolais","French","Indo-European"
"Beaulieu","Middle French","Indo-European"
"Beauly","Middle French","Indo-European"
"Beaumaris","Anglo-Norman","Indo-European"
"Beaumont","French","Indo-European"
"beaupere","Middle French","Indo-European"
"Beausale","Middle English","Indo-European"
"beauseant","French","Indo-European"
"beauteous","Middle English","Indo-European"
"beautiful","Middle English","Indo-European"
"beautify","Middle French","Indo-European"
"beauty","Middle French","Indo-European"
"beauvericin","Tingal","Bookkeeping"
"beaux-arts","French","Indo-European"
"beaver","Indo-European","Indo-European"
"Beaver","Cajun French","Indo-European"
"bebar","Middle English","Indo-European"
"bebark","Middle English","Indo-European"
"bebathe","Middle English","Indo-European"
"bebay","Middle English","Indo-European"
"Bebel","German","Indo-European"
"Bebhionn","Irish","Indo-European"
"bebleed","Middle English","Indo-European"
"bebloody","Middle English","Indo-European"
"beblot","Middle English","Indo-European"
"beblow","Middle English","Indo-European"
"bebreak","Middle English","Indo-European"
"bebung","German","Indo-European"
"bebury","Middle English","Indo-European"
"bec de corbin","Middle French","Indo-European"
"becak","Mian","Nuclear Trans New Guinea"
"becall","Middle English","Indo-European"
"becare","Middle English","Indo-European"
"becarve","Middle English","Indo-European"
"becast","Middle English","Indo-European"
"becatch","Indo-European","Indo-European"
"because","Middle French","Indo-European"
"beccafico","Italian","Indo-European"
"beccal","Latin","Indo-European"
"Becerra","Spanish","Indo-European"
"béchamel","French","Indo-European"
"béchamel sauce","French","Indo-European"
"Béchamp","French","Indo-European"
"becharm","Middle English","Indo-European"
"bêche-de-mer","French","Indo-European"
"bechic","Ancient North Greek","Indo-European"
"bechide","Middle English","Indo-European"
"Becht","East Germanic","Indo-European"
"Bechtel","German","Indo-European"
"beck","Old Norse","Indo-European"
"Beck","German","Indo-European"
"becket","Dutch","Indo-European"
"Beckman","German","Indo-European"
"beckon","Middle English","Indo-European"
"beclap","Middle English","Indo-European"
"beclart","Middle English","Indo-European"
"beclepe","Middle English","Indo-European"
"beclip","Germanic","Indo-European"
"beclipping","Middle English","Indo-European"
"beclose","Middle English","Indo-European"
"become","Middle English","Indo-European"
"becomse","Middle English","Indo-European"
"becquerel","French","Indo-European"
"becrave","Middle English","Indo-European"
"becreep","Middle Dutch","Indo-European"
"becross","German Sign Language","Sign Language"
"becut","Middle English","Indo-European"
"bed","Indo-European","Indo-European"
"bed and board","Middle English","Indo-European"
"bedaff","Middle English","Indo-European"
"bedag","Middle English","Indo-European"
"bedamp","Dutch","Indo-European"
"Bedard","French","Indo-European"
"bedark","Middle English","Indo-European"
"bedaub","Middle French","Indo-European"
"bedaw","Middle English","Indo-European"
"bedaze","Middle English","Indo-European"
"bedchamber","Middle English","Indo-European"
"bedclothes","Middle English","Indo-European"
"bedding","Middle English","Indo-European"
"Beddow","Welsh","Indo-European"
"bede","Middle English","Indo-European"
"bedeal","Middle English","Indo-European"
"bedeck","Northern Frisian","Indo-European"
"bedeem","Middle English","Indo-European"
"bedeen","Middle English","Indo-European"
"bedel","Middle English","Indo-European"
"Bedel","French","Indo-European"
"bedeman","Middle English","Indo-European"
"bedew","Middle English","Indo-European"
"bedfellow","Middle English","Indo-European"
"Bedford","Middle English","Indo-European"
"Bedfordshire","Middle English","Indo-European"
"bedhead","Middle English","Indo-European"
"bedight","Middle English","Indo-European"
"bedikah","Here","Atlantic-Congo"
"bedip","Middle English","Indo-European"
"bedirten","Middle English","Indo-European"
"bedlam","Ancient North Greek","Indo-European"
"bedlamer","French","Indo-European"
"bedmaker","Middle English","Indo-European"
"Bednar","Czech","Indo-European"
"Bednarczyk","Polish","Indo-European"
"Bednarek","Polish","Indo-European"
"Bednarski","Polish","Indo-European"
"Bednarz","Polish","Indo-European"
"bedo","Middle English","Indo-European"
"bedole","Middle English","Indo-European"
"bedone","Middle English","Indo-European"
"bedouin","Middle French","Indo-European"
"bedoven","Middle English","Indo-European"
"Bedoya","Spanish","Indo-European"
"bedrabble","Middle English","Indo-European"
"bedraw","Middle English","Indo-European"
"bedrench","Middle English","Indo-European"
"bedrest","Middle English","Indo-European"
"bedrid","Middle English","Indo-European"
"bedridden","Middle English","Indo-European"
"bedrink","Middle English","Indo-European"
"bedrip","Middle English","Indo-European"
"bedrive","Middle English","Indo-European"
"bedrop","Middle English","Indo-European"
"Bedrosian","Western Armenian","Indo-European"
"bedsheet","Middle English","Indo-European"
"bedside","Middle English","Indo-European"
"bedstead","Middle English","Indo-European"
"bedstraw","Middle English","Indo-European"
"bedtime","Middle English","Indo-European"
"bedumb","Middle English","Indo-European"
"bedust","Middle English","Indo-European"
"bedwell","Middle Dutch","Indo-European"
"Będzin","Polish","Indo-European"
"bee","Indo-European","Indo-European"
"bee fly","Icelandic","Indo-European"
"bee hoon","Mian","Nuclear Trans New Guinea"
"beebread","Middle English","Indo-European"
"beech","Middle English","Indo-European"
"Beecham","French","Indo-European"
"beechen","Middle English","Indo-European"
"Beechler","German","Indo-European"
"beedi","Hindi","Indo-European"
"beef","Anglo-Norman","Indo-European"
"beef bourguignon","French","Indo-European"
"beehive","Middle English","Indo-European"
"Beekes","Dutch","Indo-European"
"Beelzebub","Latin","Indo-European"
"beemother","Middle English","Indo-European"
"been","Middle English","Indo-European"
"beer","Middle English","Indo-European"
"Beer","Middle English","Indo-European"
"beer garden","German","Indo-European"
"Beerbower","German","Indo-European"
"beerhouse","Middle English","Indo-European"
"Beeroth","Here","Atlantic-Congo"
"Beersheba","Here","Atlantic-Congo"
"beerwort","Middle English","Indo-European"
"beest","Middle English","Indo-European"
"beestings","East Germanic","Indo-European"
"beet","Latin","Indo-European"
"Beetewk","Russian","Indo-European"
"beeth","Middle English","Indo-European"
"Beetham","Old Norse","Indo-European"
"beetle","Middle English","Indo-European"
"beetrave","French","Indo-European"
"beezer","Mandari","Nilotic"
"befall","Middle English","Indo-European"
"befalling","Middle English","Indo-European"
"befang","Middle English","Indo-European"
"befast","Middle English","Indo-European"
"befezzed","Ottoman Turkish","Turkic"
"befight","Middle English","Indo-European"
"befile","East Germanic","Indo-European"
"befilth","Indo-European","Indo-European"
"befind","Middle English","Indo-European"
"beflapped","Middle English","Indo-European"
"beflay","Middle English","Indo-European"
"beflee","Middle English","Indo-European"
"befly","Middle English","Indo-European"
"befold","Middle English","Indo-European"
"befool","Middle English","Indo-European"
"before","Germanic","Indo-European"
"beforehand","Middle English","Indo-European"
"befoul","Indo-European","Indo-European"
"befree","Middle English","Indo-European"
"befriend","Mainland Northern Frisian","Indo-European"
"befright","German","Indo-European"
"befur","Middle English","Indo-European"
"befurred","Middle English","Indo-European"
"beg","Middle English","Indo-European"
"Beg","Hindi","Indo-European"
"beg the question","Latin","Indo-European"
"begab","Middle English","Indo-European"
"begadkefat","Here","Atlantic-Congo"
"Begala","Slavic","Indo-European"
"begather","Middle Dutch","Indo-European"
"begeck","Middle Dutch","Indo-European"
"beget","Middle English","Indo-European"
"beggar","Middle English","Indo-European"
"beggarhood","Middle English","Indo-European"
"begging","Middle English","Indo-European"
"Beghard","French","Indo-European"
"beghast","German","Indo-European"
"begift","Middle English","Indo-European"
"begin","Middle English","Indo-European"
"beginner","Middle English","Indo-European"
"beginning","Germanic","Indo-European"
"begird","Germanic","Indo-European"
"begive","Dutch","Indo-European"
"beglammer","Scots","Indo-European"
"Begley","Irish","Indo-European"
"beglossed","Middle English","Indo-European"
"begnaw","Middle English","Indo-European"
"bego","Germanic","Indo-European"
"begonia","French","Indo-European"
"begrave","Middle English","Indo-European"
"begreet","Northern Frisian","Indo-European"
"begrime","Indo-European","Indo-European"
"begripe","Middle English","Indo-European"
"begroan","Middle English","Indo-European"
"begrudge","Middle English","Indo-European"
"begrutten","Scots","Indo-European"
"beguide","Middle English","Indo-European"
"beguile","Middle English","Indo-European"
"beguiler","Middle English","Indo-European"
"beguilt","Middle English","Indo-European"
"béguin","French","Indo-European"
"beguinage","French","Indo-European"
"beguine","French","Indo-European"
"Beguine","Middle French","Indo-European"
"begum","Urdu","Indo-European"
"begunk","Scots","Indo-European"
"Beha","Arabic","Afro-Asiatic"
"behad","Scots","Indo-European"
"behalf","Middle English","Indo-European"
"Behan","Irish","Indo-European"
"behandle","Mainland Northern Frisian","Indo-European"
"behang","Middle English","Indo-European"
"behappen","Middle English","Indo-European"
"behate","Middle English","Indo-European"
"behave","Middle English","Indo-European"
"behaver","Indo-European","Indo-European"
"behavior","Middle English","Indo-European"
"behavioral","Indo-European","Indo-European"
"behaviorism","Indo-European","Indo-European"
"behaviorist","Indo-European","Indo-European"
"behead","Middle English","Indo-European"
"beheader","Middle English","Indo-European"
"behear","Northern Frisian","Indo-European"
"behearken","Northern Frisian","Indo-European"
"behedge","Middle English","Indo-European"
"behelm","Middle English","Indo-European"
"behelp","Scots","Indo-European"
"behemoth","Late Latin","Indo-European"
"behen","Arabic","Afro-Asiatic"
"behenchod","Hindi","Indo-European"
"behest","Germanic","Indo-European"
"behew","Middle English","Indo-European"
"behight","Middle English","Indo-European"
"behind","Middle English","Indo-European"
"Behnken","German","Indo-European"
"behold","Middle English","Indo-European"
"beholden","Middle English","Indo-European"
"behoof","Middle English","Indo-European"
"behooveful","Middle English","Indo-European"
"behorsed","Middle English","Indo-European"
"behove","Indo-European","Indo-European"
"behoveful","Middle English","Indo-European"
"behovely","Middle English","Indo-European"
"Behrouz","Old Persian","Bookkeeping"
"beige","Middle French","Indo-European"
"beignet","French","Indo-European"
"beikost","German","Indo-European"
"Beilfuss","German","Indo-European"
"Beilke","German","Indo-European"
"bein","Middle English","Indo-European"
"beingness","German","Indo-European"
"Beirut","Phoenician","Afro-Asiatic"
"Beiruti","Arabic","Afro-Asiatic"
"Beit","German","Indo-European"
"Beith","Scottish Gaelic","Indo-European"
"bejan","French","Indo-European"
"bejape","Middle English","Indo-European"
"Bejar","Spanish","Indo-European"
"Bejarano","Spanish","Indo-European"
"bejel","Arabic","Afro-Asiatic"
"bejuco","Spanish","Indo-European"
"bek","Russian","Indo-European"
"beka","Here","Atlantic-Congo"
"Bekele","Amharic","Afro-Asiatic"
