"term","name","family"
"-hedron","Ancient North Greek","Indo-European"
"-hood","Middle English","Indo-European"
"-i","Latin","Indo-European"
"-i-","Latin","Indo-European"
"-ia","Latin","Indo-European"
"-ial","Latin","Indo-European"
"-ian","Latin","Indo-European"
"-iana","Latin","Indo-European"
"-iasis","Ancient North Greek","Indo-European"
"-iatric","Ancient North Greek","Indo-European"
"-iatrics","Ancient North Greek","Indo-European"
"-iatry","Ancient North Greek","Indo-European"
"-ible","Latin","Indo-European"
"-ic","Middle French","Indo-European"
"-ica","Latin","Indo-European"
"-ical","Middle French","Indo-European"
"-ician","French","Indo-European"
"-icle","Middle English","Indo-European"
"-id","Middle French","Indo-European"
"-idine","German","Indo-European"
"-ie","Indo-European","Indo-European"
"-ienne","French","Indo-European"
"-iety","French","Indo-European"
"-ific","Latin","Indo-European"
"-ification","Latin","Indo-European"
"-ify","Middle French","Indo-European"
"-ile","Latin","Indo-European"
"-illiard","French","Indo-European"
"-in'","Middle English","Indo-European"
"-inda","Germanic","Indo-European"
"-ine","Middle French","Indo-European"
"-ing","Middle English","Indo-European"
"-ion","Middle French","Indo-European"
"-iot","Ancient North Greek","Indo-European"
"-ise","French","Indo-European"
"-ish","Middle French","Indo-European"
"-ism","Ancient North Greek","Indo-European"
"-ismus","Latin","Indo-European"
"-ist","Middle French","Indo-European"
"-ista","Spanish","Indo-European"
"-ite","French","Indo-European"
"-itis","Old Latin","Indo-European"
"-itude","Latin","Indo-European"
"-ity","Middle French","Indo-European"
"-ium","Latin","Indo-European"
"-ive","Anglo-Norman","Indo-European"
"-ize","Middle French","Indo-European"
"-k","Middle English","Indo-European"
"-kin","Middle Dutch","Indo-European"
"-kind","Middle English","Indo-European"
"-kinesis","Ancient North Greek","Indo-European"
"-lagnia","Ancient North Greek","Indo-European"
"-lalia","Ancient North Greek","Indo-European"
"-land","Indo-European","Indo-European"
"-latry","Late Latin","Indo-European"
"-le","Middle English","Indo-European"
"-lect","Ancient North Greek","Indo-European"
"-lepsy","Ancient North Greek","Indo-European"
"-leptic","Ancient North Greek","Indo-European"
"-less","Germanic","Indo-European"
"-let","Middle French","Indo-European"
"-like","Middle English","Indo-European"
"-lin","Middle English","Indo-European"
